,Reporting Year,Reporting Month,AWC_ID,Tot_Children_0to6M,Tot_Children_SC_0to6M,Tot_Children_ST_0to6M,Tot_Children_BC_0to6M,Tot_Children_OC_0to6M,Tot_Children_7Mto3Y,Tot_Children_SC_7Mto3Y,Tot_Children_ST_7Mto3Y,Tot_Children_BC_7Mto3Y,Tot_Children_OC_7Mto3Y,Tot_Children_3Yto6Y,Tot_Children_SC_3Yto6Y,Tot_Children_ST_3Yto6Y,Tot_Children_BC_3Yto6Y,Tot_Children_OC_3Yto6Y
Reporting Year,,,,,,,,,,,,,,,,,,
Reporting Month,,,,,,,,,,,,,,,,,,
AWC_ID,,,1.0,-0.062377709198979676,-0.028934642961777463,0.08408164813550174,-0.05930694238965196,-0.09087910797519785,-0.2729504836387489,-0.12346343992179543,0.07473227958260723,-0.22741621335795018,-0.17009930052394795,-0.26074730036826455,-0.12628712850450471,0.05318027773584292,-0.20869176477370502,-0.15474816066149297
Tot_Children_0to6M,,,-0.062377709198979676,1.0,0.45209987163630555,0.18820671599136868,0.7551077168392498,0.4919013956036974,0.5223282730648686,0.22070272831836343,-0.024746532865345353,0.432620823022444,0.26331246399865554,0.34704687781671834,0.14309431040717674,-0.07844542681297932,0.31548107411910553,0.16853926121505655
Tot_Children_SC_0to6M,,,-0.028934642961777463,0.45209987163630555,1.0,-0.09453043899531846,0.08792577672766916,0.020064470372964438,0.21416909446565874,0.6380841167392081,-0.14819459838074728,0.03515974124521014,-0.020366624359857977,0.14740305151682775,0.5483052027225519,-0.15682118341243095,-0.013031337311970814,-0.03605153894000962
Tot_Children_ST_0to6M,,,0.08408164813550174,0.18820671599136868,-0.09453043899531846,1.0,-0.13969042590157002,-0.06999948137041559,-0.04011119271199966,-0.15176233571028874,0.6707661572101086,-0.21808464176385778,-0.0968639378493346,-0.0782738744339785,-0.15918330534555672,0.570628883746088,-0.22970277088732366,-0.09829209439815471
Tot_Children_BC_0to6M,,,-0.05930694238965196,0.7551077168392498,0.08792577672766916,-0.13969042590157002,1.0,0.12732668580416398,0.38463407566024693,0.011322327514440454,-0.2219983673414035,0.604248541019413,0.04206558189883549,0.27892408613660163,-0.027949368810245165,-0.2371273851053841,0.4799099102696806,0.013773314237449338
Tot_Children_OC_0to6M,,,-0.09087910797519785,0.4919013956036974,0.020064470372964438,-0.06999948137041559,0.12732668580416398,1.0,0.41372869874946755,0.0052834609001782785,-0.10460840940727498,0.1522913623648876,0.6616167456491084,0.2738773049990168,-0.017843829417343065,-0.1132278862925653,0.1425181038669199,0.4998675710472007
Tot_Children_7Mto3Y,,,-0.2729504836387489,0.5223282730648686,0.21416909446565874,-0.04011119271199966,0.38463407566024693,0.41372869874946755,1.0,0.4115800620562121,0.014412108897422895,0.7451759144744872,0.5886254379274033,0.7033354723306289,0.2870325340044974,-0.07507185909610388,0.5446662490551922,0.44492882600973765
Tot_Children_SC_7Mto3Y,,,-0.12346343992179543,0.22070272831836343,0.6380841167392081,-0.15176233571028874,0.011322327514440454,0.0052834609001782785,0.4115800620562121,1.0,-0.18577923333152976,0.10220415409662219,0.02019603281494191,0.30124903466870717,0.8233241315135346,-0.20171241311563054,0.03918478767554807,-0.001964303486745505
Tot_Children_ST_7Mto3Y,,,0.07473227958260723,-0.024746532865345353,-0.14819459838074728,0.6707661572101086,-0.2219983673414035,-0.10460840940727498,0.014412108897422895,-0.18577923333152976,1.0,-0.26538366067646824,-0.11386173307886821,-0.050521652206593146,-0.19799533357909657,0.8380370785114422,-0.2874554648124147,-0.11884539830066722
Tot_Children_BC_7Mto3Y,,,-0.22741621335795018,0.432620823022444,0.03515974124521014,-0.21808464176385778,0.604248541019413,0.1522913623648876,0.7451759144744872,0.10220415409662219,-0.26538366067646824,1.0,0.1516402629420868,0.5460083143370112,0.0454668150092928,-0.29742822265649793,0.7662281057158146,0.100413727898901
Tot_Children_OC_7Mto3Y,,,-0.17009930052394795,0.26331246399865554,-0.020366624359857977,-0.0968639378493346,0.04206558189883549,0.6616167456491084,0.5886254379274033,0.02019603281494191,-0.11386173307886821,0.1516402629420868,1.0,0.4140855419428539,-0.0010153510985918576,-0.1256067906640054,0.1498281548645122,0.8105615499613703
Tot_Children_3Yto6Y,,,-0.26074730036826455,0.34704687781671834,0.14740305151682775,-0.0782738744339785,0.27892408613660163,0.2738773049990168,0.7033354723306289,0.30124903466870717,-0.050521652206593146,0.5460083143370112,0.4140855419428539,1.0,0.4257490569994249,0.01600685375791969,0.7739497422286874,0.5107505609541995
Tot_Children_SC_3Yto6Y,,,-0.12628712850450471,0.14309431040717674,0.5483052027225519,-0.15918330534555672,-0.027949368810245165,-0.017843829417343065,0.2870325340044974,0.8233241315135346,-0.19799533357909657,0.0454668150092928,-0.0010153510985918576,0.4257490569994249,1.0,-0.1914938378809418,0.08828906872532954,0.01852573202087544
Tot_Children_ST_3Yto6Y,,,0.05318027773584292,-0.07844542681297932,-0.15682118341243095,0.570628883746088,-0.2371273851053841,-0.1132278862925653,-0.07507185909610388,-0.20171241311563054,0.8380370785114422,-0.29742822265649793,-0.1256067906640054,0.01600685375791969,-0.1914938378809418,1.0,-0.2822858121885075,-0.11698097764743381
Tot_Children_BC_3Yto6Y,,,-0.20869176477370502,0.31548107411910553,-0.013031337311970814,-0.22970277088732366,0.4799099102696806,0.1425181038669199,0.5446662490551922,0.03918478767554807,-0.2874554648124147,0.7662281057158146,0.1498281548645122,0.7739497422286874,0.08828906872532954,-0.2822858121885075,1.0,0.15608453600710953
Tot_Children_OC_3Yto6Y,,,-0.15474816066149297,0.16853926121505655,-0.03605153894000962,-0.09829209439815471,0.013773314237449338,0.4998675710472007,0.44492882600973765,-0.001964303486745505,-0.11884539830066722,0.100413727898901,0.8105615499613703,0.5107505609541995,0.01852573202087544,-0.11698097764743381,0.15608453600710953,1.0
